"sport","threshold_percent","qualifying_hedges","trade_count","total_pnl","pnl_per_hedge","return_on_stake","max_drawdown"
"nba","53","14","56","-4.040508","-0.288608","-0.002886","0.00204"
"nba","54","13","52","-3.990508","-0.306962","-0.003070","0.00204"
"nba","55","13","52","-3.990508","-0.306962","-0.003070","0.00204"
"nba","56","13","52","-3.990508","-0.306962","-0.003070","0.00204"
"nba","57","13","52","-3.990508","-0.306962","-0.003070","0.00204"
"nba","58","13","52","-3.990508","-0.306962","-0.003070","0.00204"
"nba","59","13","52","-3.990508","-0.306962","-0.003070","0.00204"
"nba","60","13","52","-3.990508","-0.306962","-0.003070","0.00204"
"nba","61","13","52","-3.990508","-0.306962","-0.003070","0.00204"
"nba","62","13","52","-3.990508","-0.306962","-0.003070","0.00204"
"nba","63","12","48","-4.590508","-0.382542","-0.003825","0.00204"
"nba","64","12","48","-4.590508","-0.382542","-0.003825","0.00204"
"nba","65","12","48","-4.590508","-0.382542","-0.003825","0.00204"
"nba","66","12","48","-4.590508","-0.382542","-0.003825","0.00204"
"nba","67","12","48","-4.590508","-0.382542","-0.003825","0.00204"
"nba","68","12","48","-4.590508","-0.382542","-0.003825","0.00204"
"nba","69","12","48","-4.590508","-0.382542","-0.003825","0.00204"
"nba","70","12","48","-4.590508","-0.382542","-0.003825","0.00204"
"nba","71","10","40","0.066939","0.006694","0.000067","0.00204"
"nba","72","10","40","0.066939","0.006694","0.000067","0.00204"
"nba","73","9","36","-1.326165","-0.147352","-0.001474","0.00204"
"nba","74","8","32","-1.276165","-0.159521","-0.001595","0.002022"
"nba","75","8","32","-1.276165","-0.159521","-0.001595","0.002022"
"nba","76","7","28","-1.226165","-0.175166","-0.001752","0.002004"
"nba","77","7","28","-1.226165","-0.175166","-0.001752","0.002004"
"nba","78","6","24","-0.381359","-0.063560","-0.000636","0.001703"
"nba","79","6","24","-0.381359","-0.063560","-0.000636","0.001703"
"nba","80","6","24","-0.381359","-0.063560","-0.000636","0.001703"
"nba","81","6","24","-0.381359","-0.063560","-0.000636","0.001703"
"nba","82","6","24","-0.381359","-0.063560","-0.000636","0.001703"
"nba","83","5","20","-1.491965","-0.298393","-0.002984","0.001703"
"nba","84","4","16","-1.351546","-0.337887","-0.003379","0.001652"
"nba","85","4","16","-1.351546","-0.337887","-0.003379","0.001652"
"nba","86","4","16","-1.351546","-0.337887","-0.003379","0.001652"
"nba","87","4","16","-1.351546","-0.337887","-0.003379","0.001652"
"nba","88","4","16","-1.351546","-0.337887","-0.003379","0.001652"
"nba","89","4","16","-1.351546","-0.337887","-0.003379","0.001652"
"nba","90","4","16","-1.351546","-0.337887","-0.003379","0.001652"
"nba","91","4","16","-1.351546","-0.337887","-0.003379","0.001652"
"nba","92","4","16","-1.351546","-0.337887","-0.003379","0.001652"
"nba","93","4","16","-1.351546","-0.337887","-0.003379","0.001652"
"nba","94","1","4","-2.757055","-2.757055","-0.027571","0.000985"
"nba","95","1","4","-2.757055","-2.757055","-0.027571","0.000985"
"nba","96","1","4","-2.757055","-2.757055","-0.027571","0.000985"
"nba","97","1","4","-2.757055","-2.757055","-0.027571","0.000985"
"nba","98","0","0","0","","","0"
"nba","99","0","0","0","","","0"
"nba","100","0","0","0","","","0"
"nba_2025","0","28","112","-15.33083","-0.547530","-0.005475","0.00917"
"nba_2025","1","28","112","-15.33083","-0.547530","-0.005475","0.00917"
"nba_2025","2","28","112","-15.33083","-0.547530","-0.005475","0.00917"
"nba_2025","3","28","112","-15.33083","-0.547530","-0.005475","0.00917"
"nba_2025","4","27","108","-15.23083","-0.564105","-0.005641","0.00917"
"nba_2025","5","26","104","-15.18083","-0.583878","-0.005839","0.00917"
"nba_2025","6","25","100","-15.13083","-0.605233","-0.006052","0.00917"
"nba_2025","7","25","100","-15.13083","-0.605233","-0.006052","0.00917"
"nba_2025","8","25","100","-15.13083","-0.605233","-0.006052","0.00917"
"nba_2025","9","25","100","-15.13083","-0.605233","-0.006052","0.00917"
